year,month,nao,day,datetime
1950,1,0.92,31,1950-01-31
1950,2,0.4,28,1950-02-28
1950,3,-0.36,31,1950-03-31
1950,4,0.73,30,1950-04-30
1950,5,-0.59,31,1950-05-31
1950,6,-0.06,30,1950-06-30
1950,7,-1.26,31,1950-07-31
1950,8,-0.05,31,1950-08-31
1950,9,0.25,30,1950-09-30
1950,10,0.85,31,1950-10-31
1950,11,-1.26,30,1950-11-30
1950,12,-1.02,31,1950-12-31
1951,1,0.08,31,1951-01-31
1951,2,0.7,28,1951-02-28
1951,3,-1.02,31,1951-03-31
1951,4,-0.22,30,1951-04-30
1951,5,-0.59,31,1951-05-31
1951,6,-1.64,30,1951-06-30
1951,7,1.37,31,1951-07-31
1951,8,-0.22,31,1951-08-31
1951,9,-1.36,30,1951-09-30
1951,10,1.87,31,1951-10-31
1951,11,-0.39,30,1951-11-30
1951,12,1.32,31,1951-12-31
1952,1,0.93,31,1952-01-31
1952,2,-0.83,29,1952-02-29
1952,3,-1.49,31,1952-03-31
1952,4,1.01,30,1952-04-30
1952,5,-1.12,31,1952-05-31
1952,6,-0.4,30,1952-06-30
1952,7,-0.09,31,1952-07-31
1952,8,-0.28,31,1952-08-31
1952,9,-0.54,30,1952-09-30
1952,10,-0.73,31,1952-10-31
1952,11,-1.13,30,1952-11-30
1952,12,-0.43,31,1952-12-31
1953,1,0.33,31,1953-01-31
1953,2,-0.49,28,1953-02-28
1953,3,-0.04,31,1953-03-31
1953,4,-1.67,30,1953-04-30
1953,5,-0.66,31,1953-05-31
1953,6,1.09,30,1953-06-30
1953,7,0.4,31,1953-07-31
1953,8,-0.71,31,1953-08-31
1953,9,-0.35,30,1953-09-30
1953,10,1.32,31,1953-10-31
1953,11,1.04,30,1953-11-30
1953,12,-0.47,31,1953-12-31
1954,1,0.37,31,1954-01-31
1954,2,0.74,28,1954-02-28
1954,3,-0.83,31,1954-03-31
1954,4,1.34,30,1954-04-30
1954,5,-0.09,31,1954-05-31
1954,6,-0.25,30,1954-06-30
1954,7,-0.6,31,1954-07-31
1954,8,-1.9,31,1954-08-31
1954,9,-0.44,30,1954-09-30
1954,10,0.6,31,1954-10-31
1954,11,0.4,30,1954-11-30
1954,12,0.69,31,1954-12-31
1955,1,-1.84,31,1955-01-31
1955,2,-1.12,28,1955-02-28
1955,3,-0.53,31,1955-03-31
1955,4,-0.42,30,1955-04-30
1955,5,-0.34,31,1955-05-31
1955,6,-1.1,30,1955-06-30
1955,7,1.76,31,1955-07-31
1955,8,1.07,31,1955-08-31
1955,9,0.32,30,1955-09-30
1955,10,-1.47,31,1955-10-31
1955,11,-1.29,30,1955-11-30
1955,12,0.17,31,1955-12-31
1956,1,-0.22,31,1956-01-31
1956,2,-1.12,29,1956-02-29
1956,3,-0.05,31,1956-03-31
1956,4,-1.06,30,1956-04-30
1956,5,2.21,31,1956-05-31
1956,6,0.1,30,1956-06-30
1956,7,-0.75,31,1956-07-31
1956,8,-1.37,31,1956-08-31
1956,9,0.24,30,1956-09-30
1956,10,0.88,31,1956-10-31
1956,11,0.51,30,1956-11-30
1956,12,0.1,31,1956-12-31
1957,1,1.05,31,1957-01-31
1957,2,0.11,28,1957-02-28
1957,3,-1.26,31,1957-03-31
1957,4,0.49,30,1957-04-30
1957,5,-0.79,31,1957-05-31
1957,6,-0.72,30,1957-06-30
1957,7,-1.19,31,1957-07-31
1957,8,-0.55,31,1957-08-31
1957,9,-1.66,30,1957-09-30
1957,10,1.32,31,1957-10-31
1957,11,0.73,30,1957-11-30
1957,12,0.12,31,1957-12-31
1958,1,-0.54,31,1958-01-31
1958,2,-1.06,28,1958-02-28
1958,3,-1.96,31,1958-03-31
1958,4,0.37,30,1958-04-30
1958,5,-0.24,31,1958-05-31
1958,6,-1.38,30,1958-06-30
1958,7,-1.73,31,1958-07-31
1958,8,-1.56,31,1958-08-31
1958,9,-0.07,30,1958-09-30
1958,10,0.16,31,1958-10-31
1958,11,1.64,30,1958-11-30
1958,12,-0.7,31,1958-12-31
1959,1,-0.87,31,1959-01-31
1959,2,0.68,28,1959-02-28
1959,3,-0.15,31,1959-03-31
1959,4,0.36,30,1959-04-30
1959,5,0.39,31,1959-05-31
1959,6,0.4,30,1959-06-30
1959,7,0.74,31,1959-07-31
1959,8,0.06,31,1959-08-31
1959,9,0.88,30,1959-09-30
1959,10,0.89,31,1959-10-31
1959,11,0.41,30,1959-11-30
1959,12,0.44,31,1959-12-31
1960,1,-1.29,31,1960-01-31
1960,2,-1.89,29,1960-02-29
1960,3,-0.5,31,1960-03-31
1960,4,1.36,30,1960-04-30
1960,5,0.45,31,1960-05-31
1960,6,-0.21,30,1960-06-30
1960,7,0.35,31,1960-07-31
1960,8,-1.4,31,1960-08-31
1960,9,0.39,30,1960-09-30
1960,10,-1.73,31,1960-10-31
1960,11,-0.51,30,1960-11-30
1960,12,0.06,31,1960-12-31
1961,1,0.41,31,1961-01-31
1961,2,0.45,28,1961-02-28
1961,3,0.55,31,1961-03-31
1961,4,-1.55,30,1961-04-30
1961,5,-0.36,31,1961-05-31
1961,6,0.86,30,1961-06-30
1961,7,-0.39,31,1961-07-31
1961,8,0.9,31,1961-08-31
1961,9,1.24,30,1961-09-30
1961,10,0.51,31,1961-10-31
1961,11,-0.62,30,1961-11-30
1961,12,-1.48,31,1961-12-31
1962,1,0.61,31,1962-01-31
1962,2,0.55,28,1962-02-28
1962,3,-2.47,31,1962-03-31
1962,4,0.99,30,1962-04-30
1962,5,-0.1,31,1962-05-31
1962,6,0.16,30,1962-06-30
1962,7,-2.47,31,1962-07-31
1962,8,0.14,31,1962-08-31
1962,9,-0.37,30,1962-09-30
1962,10,0.41,31,1962-10-31
1962,11,-0.23,30,1962-11-30
1962,12,-1.32,31,1962-12-31
1963,1,-2.12,31,1963-01-31
1963,2,-0.96,28,1963-02-28
1963,3,-0.43,31,1963-03-31
1963,4,-1.35,30,1963-04-30
1963,5,2.16,31,1963-05-31
1963,6,-0.43,30,1963-06-30
1963,7,-0.77,31,1963-07-31
1963,8,-0.64,31,1963-08-31
1963,9,1.79,30,1963-09-30
1963,10,0.94,31,1963-10-31
1963,11,-1.27,30,1963-11-30
1963,12,-1.92,31,1963-12-31
1964,1,-0.95,31,1964-01-31
1964,2,-1.43,29,1964-02-29
1964,3,-1.2,31,1964-03-31
1964,4,0.36,30,1964-04-30
1964,5,0.52,31,1964-05-31
1964,6,1.29,30,1964-06-30
1964,7,1.9,31,1964-07-31
1964,8,-1.77,31,1964-08-31
1964,9,0.2,30,1964-09-30
1964,10,0.74,31,1964-10-31
1964,11,-0.01,30,1964-11-30
1964,12,-0.15,31,1964-12-31
1965,1,-0.12,31,1965-01-31
1965,2,-1.55,28,1965-02-28
1965,3,-1.51,31,1965-03-31
1965,4,0.72,30,1965-04-30
1965,5,-0.62,31,1965-05-31
1965,6,0.29,30,1965-06-30
1965,7,0.32,31,1965-07-31
1965,8,0.45,31,1965-08-31
1965,9,0.37,30,1965-09-30
1965,10,0.38,31,1965-10-31
1965,11,-1.66,30,1965-11-30
1965,12,1.37,31,1965-12-31
1966,1,-1.74,31,1966-01-31
1966,2,-1.39,28,1966-02-28
1966,3,0.56,31,1966-03-31
1966,4,-0.75,30,1966-04-30
1966,5,0.22,31,1966-05-31
1966,6,1.05,30,1966-06-30
1966,7,0.32,31,1966-07-31
1966,8,-1.76,31,1966-08-31
1966,9,-0.45,30,1966-09-30
1966,10,-0.68,31,1966-10-31
1966,11,-0.04,30,1966-11-30
1966,12,0.72,31,1966-12-31
1967,1,-0.89,31,1967-01-31
1967,2,0.19,28,1967-02-28
1967,3,1.51,31,1967-03-31
1967,4,0.18,30,1967-04-30
1967,5,-0.99,31,1967-05-31
1967,6,1.4,30,1967-06-30
1967,7,0.41,31,1967-07-31
1967,8,1.44,31,1967-08-31
1967,9,0.93,30,1967-09-30
1967,10,0.07,31,1967-10-31
1967,11,0.6,30,1967-11-30
1967,12,-0.45,31,1967-12-31
1968,1,0.13,31,1968-01-31
1968,2,-1.29,29,1968-02-29
1968,3,0.4,31,1968-03-31
1968,4,-1.08,30,1968-04-30
1968,5,-1.76,31,1968-05-31
1968,6,0.33,30,1968-06-30
1968,7,-0.8,31,1968-07-31
1968,8,-0.66,31,1968-08-31
1968,9,-1.92,30,1968-09-30
1968,10,-2.3,31,1968-10-31
1968,11,-0.93,30,1968-11-30
1968,12,-1.4,31,1968-12-31
1969,1,-0.83,31,1969-01-31
1969,2,-1.55,28,1969-02-28
1969,3,-1.56,31,1969-03-31
1969,4,1.53,30,1969-04-30
1969,5,0.55,31,1969-05-31
1969,6,0.55,30,1969-06-30
1969,7,0.57,31,1969-07-31
1969,8,-1.45,31,1969-08-31
1969,9,2.07,30,1969-09-30
1969,10,0.66,31,1969-10-31
1969,11,-0.96,30,1969-11-30
1969,12,-0.28,31,1969-12-31
1970,1,-1.5,31,1970-01-31
1970,2,0.64,28,1970-02-28
1970,3,-0.96,31,1970-03-31
1970,4,-1.3,30,1970-04-30
1970,5,1.14,31,1970-05-31
1970,6,1.55,30,1970-06-30
1970,7,0.1,31,1970-07-31
1970,8,0.1,31,1970-08-31
1970,9,-0.09,30,1970-09-30
1970,10,-0.92,31,1970-10-31
1970,11,-0.6,30,1970-11-30
